HCI,72.23
HCXY,26.22
HCXZ,25.34
HD,258.81
HDB,80.74
HE,35.22
HEI,128.45
HEI.A,118.28
HEP,17.38
HEQ,11.73
HES,66.31
HESM,21.38
HEXO,7.19
HFC,38.72
HFR-A,25.97
HFRO,10.5
HGH,26.94
HGLB,7.25
HGV,40.06
HHC,96.84
HHL.U,10.47
HI,47.34
HIE,8.82
HIG,51.45
HIG-G,27.95
HIG.U,10.73
HIG.W,1.72
HIGA,10.3
HII,178.08
HIL,2.52
HIM.W,6.5
HIMS,15.52
HIO,4.95
HIW,40.75
HIX,6.82
HKIB,5.7
HL,6.69
HL-B,54.15
HLF,45.5
HLI,63.5
HLT,125.72
HLX,5.07
HMC,28.3
HML-A,26.49
HMLP,15.54
HMN,38.98
HMY,3.88
HNGR,22.39
HNI,36.6
HNP,13.47
HOG,36.04
HOME,25.88
HON,204.33
HOV,59.33
HP,29.52
HPE,14.83
HPF,18.62
HPI,19
HPP,26.21
HPQ,29.37
HPR,11.05
HPS,16.77
HPX,10.62
HPX.U,11.1592
HPX.W,1.4701
HQH,24.96
HQL,21.3
HR,29.28
HRB,19.55
HRC,107.65
HRI,88.78
HRL,46.39
HRTG,9.87
HSBC,29.3
HSC,16.69
HSY,146.18
HT,11.5
HT-C,23.65
HT-D,23.23
HT-E,23.3
HTA,27.56
HTD,21.4
HTFA,25.25
HTGC,16.14
HTH,33.72
HTP.U,10.72
HTP.W,1.92
HTPA,10.3
HTY,5.86
HUBB,180.07
HUBS,522
HUM,381.47
HUN,27.78
HUYA,27.1
HVT,36.75
HVT.A,36.2299
HWM,28.91
HXL,55.52
HY,88.32
HYB,8.82
HYI,15.41
HYLN,15.7
HYT,11.47
HZA.U,11.1
HZA.W,1.79
HZAC,10.44
HZN,9.58
HZO,45.51
HZO.U,11.15
HZO.W,1.88
HZON,10.4
IAA,59.28
IAC.U,11.25
IAC.W,2.99
IACA,11.2
IAE,9.41
IAG,3.07
IBA,40
IBM,120.35
IBN,16.77
IBP,112.49
ICD,6.57
ICE,111.12
ICL,5.87
IDA,87.24
IDE,11.9
IDT,18.43
IEX,196.5
IFF,137.32
IFFT,49.46
IFN,20.75
IFS,35
IGA,8.98
IGD,5.43
IGI,21.29
IGR,7.34
IGT,18.76
IH,18.78
IHC,38.45
IHD,8.01
IHG,70.08
IHIT,9.1
IHTA,9.38
IIA.U,11.08
IIA.W,1.75
IIAC,10.52
IID,5.32
IIF,23.16
IIM,15.66
IIP-A,35.18
IIPR,199.66
IMAX,21.09
IMP.U,11.39
IMP.W,1.75
IMPX,10.55
INFO,90.88
INFY,17.42
ING,11.15
INGR,91.3
INN,10.73
INN-D,23.5
INN-E,23
INS-A,25.7
INSI,21
INSP,237.46
INSW,17.85
INT,31.69
INVH,29.6
IO,3.12
IP,50.3
IPG,26.52
IPI,31.01
IPO.D,15.33
IPO.E,21.59
IPO.F,15
IPO.V,4.65
IPO.Y,7.4
IPO.Z,4.9
IPOD,14.3
IPOE,19.74
IPOF,13.89
IPV,14.67
IPV.U,17.25
IPV.W,4.94
IQI,12.67
IQV,194.98
IR,47.04
IRL,10.76
